artist,song,genre
Lil' Kim,Magic Stick,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),pop
Nickelback,Someday,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,pop
Ashanti,Rain On Me,"hip hop, pop, R&B"
Trapt,Headstrong,"rock, metal"
Simply Red,Sunrise,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)","pop, R&B"
Girls Aloud,Sound Of The Underground,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,"hip hop, pop, R&B"
Room 5,Make Luv,Dance/Electronic
Fatman Scoop,Be Faithful,hip hop
Limp Bizkit,Behind Blue Eyes,metal
Sugababes,Too Lost In You,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack","hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,"hip hop, pop"
Chingy,Right Thurr,"hip hop, pop, R&B"
Eminem,Sing For The Moment,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,"hip hop, pop, R&B"
M??a,My Love Is Like...Wo - Main Mix,"pop, R&B"
50 Cent,21 Questions,"hip hop, pop"
Nelly,Air Force Ones,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),"hip hop, pop, R&B"
Girls Aloud,Jump,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,"pop, Dance/Electronic"
Christina Aguilera,Fighter,pop
Frankie J,Don't Wanna Try,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,"hip hop, pop"
Floetry,Say Yes,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,"pop, Dance/Electronic"
Ludacris,Stand Up,"hip hop, pop"
Nas,I Can,hip hop
3 Doors Down,When I'm Gone,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,pop
Westlife,Mandy,pop
No Doubt,It's My Life,"rock, pop"
Amanda Perez,Angel,"pop, R&B"
JAY-Z,Excuse Me Miss,hip hop
Coldplay,Clocks,"rock, pop"
Kelly Rowland,Stole,"hip hop, pop, R&B"
Missy Elliott,Work It,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),"hip hop, pop, R&B"
Junior Senior,Move Your Feet,pop
Audioslave,Like a Stone,"rock, metal"
Sean Paul,Like Glue,"hip hop, pop"
Jaheim,Put That Woman First,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),"hip hop, pop, R&B"
Monica,So Gone,"pop, R&B"
Dido,White Flag,pop
The Roots,The Seed (2.0),hip hop
Chingy,Holidae In,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,"pop, R&B"
Ja Rule,Mesmerize,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),"hip hop, pop"
Fabolous,Into You (feat. Tamia),"hip hop, pop, R&B"
Switchfoot,Meant to Live,"rock, pop"
Daniel Bedingfield,If You're Not The One,pop
Good Charlotte,Lifestyles of the Rich & Famous,"rock, metal"
Wayne Wonder,No Letting Go,"hip hop, R&B"
The Strokes,Reptilia,rock
Avril Lavigne,I'm with You,pop
Will Young,Leave Right Now,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),"hip hop, pop, R&B"
Maroon 5,This Love,pop
Britney Spears,Toxic,pop
Outkast,Hey Ya!,"hip hop, pop"
Hoobastank,The Reason,"pop, rock, metal"
Anastacia,Left Outside Alone,pop
Daddy Yankee,Gasolina,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,"hip hop, pop"
O-Zone,Dragostea Din Tei,pop
Terror Squad,Lean Back,hip hop
Anastacia,Sick and Tired,pop
Gwen Stefani,What You Waiting For?,"pop, R&B"
Ashanti,Only U - No Intro,"hip hop, pop, R&B"
The Rasmus,In the Shadows,metal
Houston,I Like That,"hip hop, pop"
Beyonc??,Naughty Girl,"pop, R&B"
Linkin Park,Numb,"rock, metal"
Lloyd Banks,On Fire,"hip hop, pop"
Akon,Locked Up,pop
D12,My Band,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,pop
Destiny's Child,Lose My Breath,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),"pop, R&B"
Kelis,Trick Me,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,rock
George Michael,Amazing,set()
Britney Spears,My Prerogative,pop
Nina Sky,Move Ya Body,"pop, R&B"
Baby Bash,Suga Suga,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,hip hop
Juanes,La Camisa Negra,"pop, latin"
Avril Lavigne,Nobody's Home,pop
Robbie Williams,Radio,"pop, rock"
Black Eyed Peas,Hey Mama,"hip hop, pop"
Ying Yang Twins,Salt Shaker,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,"pop, latin"
Kelis,Milkshake,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,"hip hop, pop, R&B"
Christina Milian,Dip It Low,"hip hop, pop, R&B"
Avant,Read Your Mind,"pop, R&B"
Eminem,Just Lose It,hip hop
Sugababes,Too Lost In You,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,Dance/Electronic
D12,How Come,"hip hop, pop, rock"
Basement Jaxx,Good Luck,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,hip hop
Chingy,One Call Away,"hip hop, pop, R&B"
T.I.,Bring Em Out,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,set()
Kylie Minogue,I Believe in You,"pop, Dance/Electronic"
Twista,Overnight Celebrity,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,hip hop
Britney Spears,Everytime,pop
U2,Vertigo,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,rock
J-Kwon,Tipsy - Club Mix,"hip hop, pop"
G-Unit,Wanna Get To Know You,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),"hip hop, pop"
Kanye West,Jesus Walks,hip hop
Evanescence,My Immortal,metal
Nelly,My Place,"hip hop, pop, R&B"
Lemar,If There's Any Justice,R&B
No Doubt,It's My Life,"rock, pop"
Avril Lavigne,Don't Tell Me,pop
Twista,Slow Jamz,"hip hop, pop, R&B"
Green Day,American Idiot,rock
Kelis,Millionaire,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),"pop, R&B"
Kanye West,Through The Wire,hip hop
Special D.,Come With Me - Radio Edit,pop
Ludacris,Splash Waterfalls,"hip hop, pop"
Avril Lavigne,My Happy Ending,pop
Dido,White Flag,pop
Eamon,Fuck It (I Don't Want You Back),set()
Beyonc??,"Me, Myself and I","pop, R&B"
3 Doors Down,Here Without You,"pop, rock, metal"
Kanye West,All Falls Down,hip hop
Twista,Sunshine (feat. Anthony Hamilton),"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,"pop, easy listening, jazz"
Usher,My Boo,"hip hop, pop, R&B"
Lloyd,Southside,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,Dance/Electronic
The Streets,Fit but You Know It,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),"hip hop, pop"
Girls Aloud,Love Machine,"pop, Dance/Electronic"
Jessica Simpson,With You,"pop, R&B"
Eminem,Like Toy Soldiers,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),pop
Ashlee Simpson,Pieces Of Me,pop
Will Young,Leave Right Now,pop
Alicia Keys,You Don't Know My Name,"pop, R&B"
Mariah Carey,We Belong Together,"pop, R&B"
Mario,Let Me Love You,"pop, R&B"
Kanye West,Gold Digger,hip hop
Rihanna,Pon de Replay,"hip hop, pop, R&B"
50 Cent,Candy Shop,"hip hop, pop"
James Blunt,You're Beautiful,pop
Green Day,Boulevard of Broken Dreams,rock
The Pussycat Dolls,Don't Cha,"pop, R&B"
Daniel Powter,Bad Day,pop
Akon,Bananza (Belly Dancer),pop
Madonna,Hung Up,pop
50 Cent,Just A Lil Bit,"hip hop, pop"
Crazy Frog,Axel F,pop
Eminem,Ass Like That,hip hop
Sean Paul,We Be Burnin',"hip hop, pop"
Gwen Stefani,Rich Girl,"pop, R&B"
The Chemical Brothers,Galvanize,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),"hip hop, pop, rock"
50 Cent,Disco Inferno,"hip hop, pop"
The Game,How We Do,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),"hip hop, pop, R&B"
Mariah Carey,It's Like That,"pop, R&B"
Black Eyed Peas,My Humps,"hip hop, pop"
Ciara,Oh (feat. Ludacris),"pop, R&B"
50 Cent,Outta Control - Remix,"hip hop, pop"
Baby Bash,"Baby, I'm Back","hip hop, pop, R&B, latin"
Jennifer Lopez,Get Right,"hip hop, pop, R&B"
JAY-Z,Numb / Encore,hip hop
The Game,Hate It Or Love It,"hip hop, pop"
Gorillaz,Feel Good Inc.,hip hop
Black Eyed Peas,Don't Phunk With My Heart,"hip hop, pop"
Akon,Lonely,pop
Bodyrockers,I Like The Way - Radio Edit,"rock, Dance/Electronic"
Sugababes,Push The Button,"pop, R&B"
Jeezy,Soul Survivor,"hip hop, pop"
Eminem,Mockingbird,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),"pop, latin"
Gorillaz,DARE,hip hop
Snoop Dogg,Signs,"hip hop, pop"
Robbie Williams,Tripping,"pop, rock"
David Banner,Play,"hip hop, pop"
Trillville,Some Cut,"hip hop, pop"
